predictor,channel,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
abs_rpe_mag,FCz,low_rew,2.4362360178193954,0.9428677445246322,2.5838576321726627,0.009770211500084206,2372,43,14505.288742119395,14522.603208399749,True,,True,True
abs_rpe_mag,FCz,any_rew,1.832160982417387,0.744241403299657,2.46178319869648,0.013824820628329796,3952,43,24046.870671143464,24065.716602320066,True,,False,True
abs_rpe_mag,FCz,stay,2.5765991651588367,0.6149907659919978,4.189655044661863,2.7937883769573277e-05,3935,43,23896.257584751398,23915.090583233952,True,,True,True
abs_rpe_mag,FCz,shift,2.5102417315727843,0.6016441288233557,4.172303212668427,3.0153599592170738e-05,3985,43,24065.167579275185,24084.038457048857,True,,True,True
abs_rpe_mag,FCz,rew_stay,2.637419245680292,0.9637795292036039,2.7365379381523702,0.006208943515853477,2035,43,12320.253842271235,12337.108595564865,True,,True,True
abs_rpe_mag,FCz,rew_shift,2.2593721337180206,0.017954471420766838,125.8389668383522,0.0,1900,43,11578.552429697105,11595.20125719257,True,,True,True
abs_rpe_mag,FCz,norew_stay,5.2711385636640395,0.11625063498514251,45.342879755777,0.0,1473,43,8822.980397622792,8838.86556687218,True,,True,True
abs_rpe_mag,FCz,norew_shift,0.7099188734081143,0.7833645390366499,0.9062433107849684,0.3648070834538082,2512,43,15231.20945644785,15248.695960030615,True,,False,False
abs_rpe_mag,Cz,all,0.2914142195253213,0.41738543254239835,0.6981897229863652,0.48505855266850484,7963,43,47917.94588352334,47938.893566800114,True,,False,False
abs_rpe_mag,Cz,high_rew,-1.103740541857147,1.298455773806051,-0.8500409210102305,0.3953023357963177,1580,43,9184.771058570846,9200.866598948909,True,,False,False
abs_rpe_mag,Cz,no_rew,0.8616054926232952,0.5150015697085888,1.6730152747123288,0.09432428907703429,4011,43,24149.234165652524,24168.124553249836,True,,False,False
abs_rpe_mag,Cz,low_rew,-1.7445826370648994,0.12806227276078355,-13.622924218467736,2.9261242876045634e-42,2372,43,14535.649347004728,14552.963813285081,True,,True,True
abs_rpe_mag,Cz,any_rew,-0.7681465853561513,0.7187799414860537,-1.0686811651533203,0.2852133613613155,3952,43,23771.87009081069,23790.716021987293,True,,False,False
abs_rpe_mag,Cz,stay,0.07703227639994978,0.6100440764407069,0.12627329626638364,0.8995155935307431,3935,43,23832.73143814751,23851.564436630066,True,,False,False
abs_rpe_mag,Cz,shift,0.42185710387164116,0.5844157585084226,0.721844162704181,0.470390294069314,3985,43,23833.727576817197,23852.59845459087,True,,False,False
abs_rpe_mag,Cz,rew_stay,-0.5746725278418323,0.5715890657238423,-1.0053945435679132,0.3147069062119672,2035,43,12540.05886115821,12556.91361445184,True,,False,False
abs_rpe_mag,Cz,rew_shift,0.3152797023450779,0.7537739384832729,0.41826824495879583,0.6757510041985443,1900,43,11270.26300650018,11286.911833995644,True,,False,False
abs_rpe_mag,Cz,norew_stay,1.7810823465145467,0.9405864623251106,1.8935870521799212,0.058279843458895274,1473,43,8847.905112041695,8863.790281291083,True,,False,False
abs_rpe_mag,Cz,norew_shift,-0.43883880885626725,0.7457197421950508,-0.5884768553458578,0.556212264468713,2512,43,14983.982961179838,15001.469464762602,True,,False,False
abs_rpe_mag,FC2,all,1.9695987969250546,0.39606249099713065,4.972949576634672,6.594181710114966e-07,7963,43,47083.02662715597,47103.97431043274,True,,True,True
abs_rpe_mag,FC2,high_rew,-1.6797447383053654,1.3598192929702635,-1.235270559102222,0.21672982691167098,1580,43,9330.502912264137,9346.5984526422,True,,False,False
abs_rpe_mag,FC2,no_rew,2.2751124018925726,0.4860635997809908,4.680688705999969,2.859127986296187e-06,4011,43,23685.54946078894,23704.439848386253,True,,True,True
abs_rpe_mag,FC2,low_rew,2.6675593027872297,0.8601414760574253,3.101302956595406,0.0019267105516451832,2372,43,14070.018616967001,14087.333083247355,True,,True,True
abs_rpe_mag,FC2,any_rew,1.36310613049087,0.6860068757618413,1.9870152598355224,0.04692070582359771,3952,43,23403.19606414975,23422.04199532635,True,,False,True
abs_rpe_mag,FC2,stay,2.2911813180639418,0.5780729706521301,3.9634811423188254,7.38647008025708e-05,3935,43,23409.29597793592,23428.128976418473,True,,True,True
abs_rpe_mag,FC2,shift,1.7198896697359236,0.5561471009842983,3.0925085587823307,0.0019847251039640393,3985,43,23438.774767203846,23457.645644977518,True,,True,True
abs_rpe_mag,FC2,rew_stay,2.922087969718632,0.9306603196424944,3.139800750118076,0.0016906277942014831,2035,43,12178.073104535757,12194.927857829387,True,,True,True
abs_rpe_mag,FC2,rew_shift,1.8073571155646473,0.6326076824879872,2.856995205079521,0.004276722987048756,1900,43,11233.450216046695,11250.099043542159,True,,True,True
abs_rpe_mag,FC2,norew_stay,1.8073002512416787,0.6516379840566882,2.7734728414549505,0.005546146952197155,1473,43,8456.59074393531,8472.475913184699,True,,True,True
abs_rpe_mag,FC2,norew_shift,1.652387127669115,0.743053252780696,2.2237802223265404,0.02616323469066914,2512,43,14966.000647935194,14983.487151517958,True,,False,True
abs_rpe_mag,FC1,all,1.086082416962263,0.43945097518918746,2.4714529680920494,0.013456525052333582,7963,43,48738.18475898748,48759.13244226426,True,,False,True
abs_rpe_mag,FC1,high_rew,-0.17900357350457813,1.443013399355021,-0.12404844860386381,0.9012769148365766,1580,43,9517.911707080011,9534.007247458074,True,,False,False
abs_rpe_mag,FC1,no_rew,1.0468068824686858,0.1758166585179324,5.9539687040629135,2.617168713532537e-09,4011,43,24543.419911765755,24562.310299363067,True,,True,True
abs_rpe_mag,FC1,low_rew,1.82075563529133,0.3023213921262872,6.022582862845362,1.716554372946568e-09,2372,43,14672.989874634171,14690.304340914525,True,,True,True
