subject,rpe_type,channel,r,p,z,n_trials,best_model
ARV_0016,rpe_rw_noreward,FCz,0.13401561013969215,0.24523628978676318,0.13482668345686438,77,random
ARV_0016,rpe_rw_reward,Cz,-0.0013624807379292682,0.9894323874943248,-0.0013624815810122878,97,random
ARV_0016,rpe_rw_noreward,Cz,0.026359496939711593,0.8199884153555812,0.02636560454841244,77,random
ARV_0019,rpe_best,FCz,0.15118593873335717,0.03632580272483082,0.15235389391955745,192,rw_bias
ARV_0019,rpe_best,Cz,0.06755289997143367,0.3518576594785274,0.06765593908320819,192,rw_bias
ARV_0019,rpe_best,FC2,0.11287556826630119,0.1190384104410059,0.11335864512426592,192,rw_bias
ARV_0019,rpe_best,FC1,0.1550828633098268,0.03172401859795692,0.15634440202387387,192,rw_bias
ARV_0019,rpe_best,F4,0.12108906963118554,0.0943145185203954,0.12168615675864275,192,rw_bias
ARV_0019,rpe_best,F5,0.1132308175116503,0.11787388849037346,0.1137184936058267,192,rw_bias
ARV_0019,rpe_best,C4,-0.09668823458996474,0.18216097265030493,-0.0969912363532634,192,rw_bias
ARV_0019,rpe_best,C3,-0.14175219808408618,0.04984812364001358,-0.14271325302032575,192,rw_bias
