subject,rpe_type,condition,channel,r,p,z,n_trials
ARV_0010,rpe_binary,high_rew,P3,-0.0074234877496198795,0.9647184094955709,-0.007423624119071496,38
ARV_0010,rpe_binary,high_rew,P8,-0.146354295041265,0.3806031995799678,-0.14741288257582896,38
ARV_0010,rpe_binary,high_rew,P7,0.010477264751227181,0.9502201492354697,0.010477648150341906,38
ARV_0010,rpe_binary,high_rew,Pz,0.20864050317602742,0.20872772575777498,0.21174955367205633,38
ARV_0010,rpe_binary,no_rew,FCz,0.030104907121443637,0.770922279194943,0.03011400681717789,96
ARV_0010,rpe_binary,no_rew,Cz,0.01977800383775813,0.8483185405828284,0.019780583293388585,96
ARV_0010,rpe_binary,no_rew,FC2,-0.06778113980036812,0.5117131665757857,-0.06788522879073443,96
ARV_0010,rpe_binary,no_rew,FC1,-0.019914279595845533,0.8472860230014482,-0.019916912747679632,96
ARV_0010,rpe_binary,no_rew,F4,-0.09944858913214365,0.3350351189605236,-0.09977839801990529,96
ARV_0010,rpe_binary,no_rew,F5,-0.011905891536755253,0.9083425579565568,-0.01190645413898574,96
ARV_0010,rpe_binary,no_rew,C4,0.07726974062013967,0.45428642698441574,0.0774240764541322,96
ARV_0010,rpe_binary,no_rew,C3,0.07265983086974953,0.4817298999081236,0.07278810545332379,96
ARV_0010,rpe_binary,no_rew,P4,0.10547233960532754,0.30643437476674423,0.10586607702991432,96
ARV_0010,rpe_binary,no_rew,P3,0.08215834415623521,0.42615654805118586,0.08234395254814071,96
ARV_0010,rpe_binary,no_rew,P8,0.02931609974052142,0.7767658288025036,0.029324502488639066,96
ARV_0010,rpe_binary,no_rew,P7,-0.06058468641283682,0.5576273369279438,-0.06065897553793035,96
ARV_0010,rpe_binary,no_rew,Pz,-0.030678089490656483,0.7666840870520845,-0.030687719107594193,96
ARV_0010,rpe_binary,low_rew,FCz,0.06186442409541836,0.7121483149030272,0.06194352847599864,38
ARV_0010,rpe_binary,low_rew,Cz,0.06932267202762593,0.6791988059046072,0.06943403975668419,38
ARV_0010,rpe_binary,low_rew,FC2,0.1982164745951399,0.2328881158606351,0.2008754030122983,38
ARV_0010,rpe_binary,low_rew,FC1,0.10842234438886157,0.5170186036258329,0.10885021586381838,38
ARV_0010,rpe_binary,low_rew,F4,-0.017405087226081205,0.9173948954978361,-0.017406845094265246,38
ARV_0010,rpe_binary,low_rew,F5,0.004009147234167044,0.9809415219544269,0.004009168714398221,38
ARV_0010,rpe_binary,low_rew,C4,-0.09299215892589775,0.5786904677774355,-0.09326160955329624,38
ARV_0010,rpe_binary,low_rew,C3,0.0457298164440259,0.7851428119196714,0.04576173347717123,38
ARV_0010,rpe_binary,low_rew,P4,0.0672095094872208,0.6884781905649497,0.0673109824140466,38
ARV_0010,rpe_binary,low_rew,P3,-0.060609229944393724,0.7177465080654306,-0.06068360952527674,38
ARV_0010,rpe_binary,low_rew,P8,-0.06209858585818152,0.7111055803942714,-0.06217859328998419,38
ARV_0010,rpe_binary,low_rew,P7,-0.022774671499334286,0.8920425289866545,-0.02277861035707814,38
ARV_0010,rpe_binary,low_rew,Pz,-0.14439569068945807,0.3870793618644574,-0.14541199090762416,38
ARV_0010,rpe_binary,any_rew,FCz,-0.08359457269846274,0.4727938500404699,-0.08379011431860099,76
ARV_0010,rpe_binary,any_rew,Cz,0.007885887106392764,0.9460967054049481,0.007886050579612553,76
ARV_0010,rpe_binary,any_rew,FC2,-0.009242543583377005,0.9368410007614656,-0.0092428067770999,76
